epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3161.71,1.73799,0.97485,1.97502,0.89808,0.58426,0.61782,0.32314,1.69286,0.89437,1.97535,0.00040707,0.00040707,0.00040707
66,3203.98,1.79784,0.99191,1.88047,0.88603,0.58505,0.61829,0.31404,1.7207,0.90157,2.01521,0.000396071,0.000396071,0.000396071
67,3245.74,1.58557,1.0096,1.87994,0.8924,0.57807,0.70246,0.32733,1.79079,0.87765,2.05255,0.000385073,0.000385073,0.000385073
68,3287.99,1.97327,1.08585,2.28411,0.89197,0.55923,0.81748,0.43752,1.73573,0.85478,2.01342,0.000374074,0.000374074,0.000374074
69,3329.42,1.72813,1.03991,2.10006,0.89197,0.55923,0.81748,0.43752,1.73573,0.85478,2.01342,0.000363075,0.000363075,0.000363075
70,3372.42,1.63833,0.96924,1.99972,0.72465,0.88862,0.84614,0.45145,1.69577,0.84352,1.98121,0.000352076,0.000352076,0.000352076
71,3414.67,1.7719,0.97562,2.05018,0.6992,0.88862,0.84368,0.48431,1.65442,0.82494,1.93838,0.000341077,0.000341077,0.000341077
72,3457.49,1.78884,1.14797,2.18276,0.72988,0.90648,0.84804,0.46836,1.6825,0.83289,1.95617,0.000330078,0.000330078,0.000330078
73,3499.36,1.69407,0.85201,1.78838,0.72988,0.90648,0.84804,0.46836,1.6825,0.83289,1.95617,0.000319079,0.000319079,0.000319079
74,3541.35,1.67236,0.90877,1.905,0.71992,0.90648,0.85094,0.47792,1.66527,0.83534,1.9407,0.00030808,0.00030808,0.00030808
75,3582.71,1.76716,1.03637,2.18155,0.66155,0.90648,0.85421,0.479,1.65708,0.83059,1.93602,0.000297081,0.000297081,0.000297081
76,3624.36,1.6527,0.93302,1.97999,0.63695,0.90648,0.85826,0.46787,1.68957,0.83596,1.96474,0.000286083,0.000286083,0.000286083
77,3666.11,1.69735,1.09076,1.98154,0.63695,0.90648,0.85826,0.46787,1.68957,0.83596,1.96474,0.000275084,0.000275084,0.000275084
78,3708.01,1.81857,0.95825,1.85642,0.71412,0.90648,0.85988,0.4459,1.69386,0.83328,1.97045,0.000264085,0.000264085,0.000264085
79,3749.84,1.67017,0.88453,1.79749,0.74851,0.89286,0.86453,0.50104,1.66329,0.82689,1.95119,0.000253086,0.000253086,0.000253086
80,3791.28,1.97433,1.02345,1.82177,0.79177,0.85714,0.85587,0.49337,1.66009,0.81326,1.9372,0.000242087,0.000242087,0.000242087
81,3832.79,1.62698,0.8748,1.80757,0.79177,0.85714,0.85587,0.49337,1.66009,0.81326,1.9372,0.000231088,0.000231088,0.000231088
82,3874.45,1.62393,0.88422,1.83291,0.81574,0.85714,0.86348,0.4729,1.65766,0.80372,1.9302,0.000220089,0.000220089,0.000220089
83,3916.09,1.81866,1.06409,2.08225,0.86306,0.85049,0.85509,0.49101,1.64621,0.80051,1.92207,0.00020909,0.00020909,0.00020909
84,3957.77,1.66673,0.87842,1.77817,0.84444,0.8198,0.85863,0.4927,1.63501,0.7935,1.91661,0.000198091,0.000198091,0.000198091
85,3999.37,1.83304,1.09368,2.09965,0.84444,0.8198,0.85863,0.4927,1.63501,0.7935,1.91661,0.000187092,0.000187092,0.000187092
86,4041.12,1.60565,0.9762,1.9792,0.83814,0.85714,0.86376,0.51699,1.61882,0.79418,1.89876,0.000176094,0.000176094,0.000176094
87,4083.04,1.81121,1.05089,2.08321,0.91531,0.83929,0.87114,0.51428,1.61886,0.79028,1.8935,0.000165095,0.000165095,0.000165095
88,4124.96,1.71376,0.86463,1.75703,0.86873,0.85291,0.86633,0.51209,1.61801,0.78226,1.88335,0.000154096,0.000154096,0.000154096
89,4166.94,1.6648,0.90747,1.94496,0.86873,0.85291,0.86633,0.51209,1.61801,0.78226,1.88335,0.000143097,0.000143097,0.000143097
90,4208.83,1.54583,0.83243,1.7461,0.86809,0.86645,0.86901,0.52079,1.62207,0.77508,1.8796,0.000132098,0.000132098,0.000132098
91,4249.55,1.69834,1.02993,2.0584,0.83767,0.87076,0.87403,0.49583,1.62949,0.7706,1.88473,0.000121099,0.000121099,0.000121099
92,4290.14,1.63567,0.9679,1.91476,0.82299,0.87076,0.87849,0.48984,1.64199,0.77848,1.89798,0.0001101,0.0001101,0.0001101
93,4330.66,1.71644,3.57382,2.50785,0.82299,0.87076,0.87849,0.48984,1.64199,0.77848,1.89798,9.91012e-05,9.91012e-05,9.91012e-05
94,4371.1,1.6579,4.02868,2.49249,0.81716,0.88862,0.8843,0.46231,1.66393,0.7896,1.9213,8.81023e-05,8.81023e-05,8.81023e-05
95,4411.6,1.6274,0.94294,1.84739,0.81601,0.88862,0.88548,0.4625,1.68568,0.80058,1.94625,7.71034e-05,7.71034e-05,7.71034e-05
96,4452.1,1.60871,0.92168,1.84143,0.82027,0.88558,0.88674,0.45694,1.70697,0.81374,1.96473,6.61045e-05,6.61045e-05,6.61045e-05
97,4492.54,1.59894,0.95855,2.01803,0.82027,0.88558,0.88674,0.45694,1.70697,0.81374,1.96473,5.51056e-05,5.51056e-05,5.51056e-05
98,4533.11,1.57714,0.92834,1.80622,0.81819,0.88862,0.8877,0.44729,1.7049,0.82378,1.96146,4.41067e-05,4.41067e-05,4.41067e-05
99,4573.55,1.61475,0.92536,1.86395,0.82185,0.88862,0.88309,0.44582,1.70316,0.82865,1.95773,3.31078e-05,3.31078e-05,3.31078e-05
100,4614.11,1.57971,0.94598,1.91744,0.83668,0.89286,0.87968,0.4458,1.69962,0.8308,1.95278,2.21089e-05,2.21089e-05,2.21089e-05
